NOMBRE_DEPTO,PROVINCIA,CODIGO_MUNICIPIO,NOMBRE_MPIO,Nombre
AMAZONAS,AMAZONAS,91263,EL ENCANTO,El Encanto
AMAZONAS,AMAZONAS,91405,LA CHORRERA,La Chorrera
AMAZONAS,AMAZONAS,91407,LA PEDRERA,La Pedrera
AMAZONAS,AMAZONAS,91430,LA VICTORIA,La Victoria
AMAZONAS,AMAZONAS,91001,LETICIA,Leticia
AMAZONAS,AMAZONAS,91460,MIRITI - PARANÁ,Miriti - Paraná
AMAZONAS,AMAZONAS,91530,PUERTO ALEGRIA,Puerto Alegria
AMAZONAS,AMAZONAS,91536,PUERTO ARICA,Puerto Arica
AMAZONAS,AMAZONAS,91540,PUERTO NARIÑO,Puerto Nariño
AMAZONAS,AMAZONAS,91669,PUERTO SANTANDER,Puerto Santander
AMAZONAS,AMAZONAS,91798,TARAPACÁ,Tarapacá
ANTIOQUIA,BAJO CAUCA,05120,CÁCERES,Cáceres
ANTIOQUIA,BAJO CAUCA,05154,CAUCASIA,Caucasia
ANTIOQUIA,BAJO CAUCA,05250,EL BAGRE,El Bagre
ANTIOQUIA,BAJO CAUCA,05495,NECHÍ,Nechí
ANTIOQUIA,BAJO CAUCA,05790,TARAZÁ,Tarazá
ANTIOQUIA,BAJO CAUCA,05895,ZARAGOZA,Zaragoza
ANTIOQUIA,MAGDALENA MEDIO,05142,CARACOLÍ,Caracolí
ANTIOQUIA,MAGDALENA MEDIO,05425,MACEO,Maceo
ANTIOQUIA,MAGDALENA MEDIO,05579,PUERTO BERRiO,Puerto Berrio
ANTIOQUIA,MAGDALENA MEDIO,05585,PUERTO NARE,Puerto Nare
ANTIOQUIA,MAGDALENA MEDIO,05591,PUERTO TRIUNFO,Puerto Triunfo
ANTIOQUIA,MAGDALENA MEDIO,05893,YONDÓ,Yondó
ANTIOQUIA,NORDESTE,05031,AMALFI,Amalfi
ANTIOQUIA,NORDESTE,05040,ANORÍ,Anorí
ANTIOQUIA,NORDESTE,05190,CISNEROS,Cisneros
ANTIOQUIA,NORDESTE,05604,REMEDIOS,Remedios
ANTIOQUIA,NORDESTE,05670,SAN ROQUE,San Roque
ANTIOQUIA,NORDESTE,05690,SANTO DOMINGO,Santo Domingo
ANTIOQUIA,NORDESTE,05736,SEGOVIA,Segovia
ANTIOQUIA,NORDESTE,05858,VEGACHÍ,Vegachí
ANTIOQUIA,NORDESTE,05885,YALÍ,Yalí
ANTIOQUIA,NORDESTE,05890,YOLOMBÓ,Yolombó
ANTIOQUIA,NORTE,05038,ANGOSTURA,Angostura
ANTIOQUIA,NORTE,05086,BELMIRA,Belmira
ANTIOQUIA,NORTE,05107,BRICEÑO,Briceño
ANTIOQUIA,NORTE,05134,CAMPAMENTO,Campamento
ANTIOQUIA,NORTE,05150,CAROLINA,Carolina
ANTIOQUIA,NORTE,05237,DON MATiAS,Don Matias
ANTIOQUIA,NORTE,05264,ENTRERRIOS,Entrerrios
ANTIOQUIA,NORTE,05310,GÓMEZ PLATA,Gómez Plata
ANTIOQUIA,NORTE,05315,GUADALUPE,Guadalupe
ANTIOQUIA,NORTE,05361,ITUANGO,Ituango
ANTIOQUIA,NORTE,05647,SAN ANDRÉS,San Andrés
ANTIOQUIA,NORTE,05658,SAN JOSÉ DE LA MONTAÑA,San José De La Montaña
ANTIOQUIA,NORTE,05664,SAN PEDRO,San Pedro
ANTIOQUIA,NORTE,05686,SANTA ROSA de osos,Santa Rosa De Osos
ANTIOQUIA,NORTE,05819,TOLEDO,Toledo
ANTIOQUIA,NORTE,05854,VALDIVIA,Valdivia
ANTIOQUIA,NORTE,05887,YARUMAL,Yarumal
ANTIOQUIA,OCCIDENTE,05004,ABRIAQUÍ,Abriaquí
ANTIOQUIA,OCCIDENTE,05044,ANZA,Anza
ANTIOQUIA,OCCIDENTE,05059,ARMENIA,Armenia
ANTIOQUIA,OCCIDENTE,05113,BURITICÁ,Buriticá
